timestamp,batchId,totalRows,normalRows,anomalyRows,latencyMs,inputRowsPerSecond,processedRowsPerSecond
2026-05-29T09:35:53.114189440,104,1925,1367,558,2523,385.00,762.98
2026-05-29T09:35:56.654062271,105,6288,4498,1790,1373,1257.60,4579.75
2026-05-29T09:36:01.237318508,106,5425,3943,1482,1076,1085.00,5041.82
2026-05-29T09:36:06.362119361,107,8417,5987,2430,1227,1683.40,6859.82
2026-05-29T09:36:11.046559884,108,7321,5250,2071,888,1464.20,8244.37
2026-05-29T09:36:16.139470485,109,8233,5897,2336,992,1646.60,8299.40
2026-05-29T09:36:21.259431973,110,8228,5924,2304,1052,1645.60,7821.29
2026-05-29T09:36:26.197299775,111,7129,5120,2009,1055,1425.80,6757.35
2026-05-29T09:36:31.028455860,112,9892,7094,2798,900,1978.40,10991.11
2026-05-29T09:36:35.823321915,113,6635,4777,1858,725,1327.00,9151.72
2026-05-29T09:36:41.000644308,114,9270,6678,2592,882,1854.00,10510.20
2026-05-29T09:36:46.114581571,115,9767,7051,2716,1013,1953.40,9641.66
2026-05-29T09:36:51.159228520,116,9040,6405,2635,1025,1808.00,8819.51
2026-05-29T09:36:56.009228252,117,10952,7879,3073,900,2190.40,12168.89
2026-05-29T09:37:01.003697490,118,10504,7530,2974,885,2100.80,11868.93
2026-05-29T09:37:06.077490227,119,11290,8122,3168,966,2258.00,11687.37
2026-05-29T09:37:10.714514313,120,6843,4902,1941,617,1368.60,11090.76
2026-05-29T09:37:15.903466787,121,8942,6465,2477,794,1788.40,11261.96
2026-05-29T09:37:20.959080736,122,12110,8682,3428,863,2422.00,14032.44
2026-05-29T09:37:26.028611341,123,11442,8150,3292,932,2288.40,12276.82
2026-05-29T09:37:30.918715060,124,12189,8741,3448,819,2437.80,14882.78
2026-05-29T09:37:35.833354593,125,9296,6701,2595,727,1859.20,12786.80
2026-05-29T09:37:40.792228432,126,8346,5958,2388,683,1669.20,12219.62
2026-05-29T09:37:45.755415297,127,6821,4869,1952,655,1364.20,10413.74
2026-05-29T09:37:50.806401606,128,10067,7197,2870,677,2013.40,14870.01
2026-05-29T09:37:55.898212270,129,10525,7598,2927,789,2105.00,13339.67
2026-05-29T09:38:01.144616481,130,14537,10437,4100,1037,2907.40,14018.32
2026-05-29T09:38:05.884066929,131,9983,7180,2803,795,1996.60,12557.23
2026-05-29T09:38:10.959522052,132,11669,8423,3246,830,2333.80,14059.04
2026-05-29T09:38:15.744726958,133,7113,5091,2022,639,1422.60,11131.46
2026-05-29T09:38:20.855804881,134,10774,7691,3083,762,2154.80,14139.11
2026-05-29T09:38:25.693663440,135,6969,4979,1990,587,1393.80,11872.23
2026-05-29T09:38:30.890310425,136,7484,5385,2099,785,1496.80,9533.76
2026-05-29T09:38:35.767235787,137,10130,7280,2850,670,2026.00,15119.40
2026-05-29T09:38:40.717454541,138,9353,6700,2653,610,1870.60,15332.79
2026-05-29T09:38:45.834109493,139,9472,6835,2637,737,1894.40,12852.10
2026-05-29T09:38:50.994037045,140,15133,10885,4248,899,3026.60,16833.15
2026-05-29T09:38:55.957747118,141,8416,5973,2443,862,1683.20,9763.34
2026-05-29T09:39:00.681287377,142,7262,5191,2071,579,1452.40,12542.31
2026-05-29T09:39:05.772161636,143,10361,7425,2936,674,2072.20,15372.40
2026-05-29T09:39:10.844741341,144,11627,8391,3236,739,2325.40,15733.42
2026-05-29T09:39:15.691902463,145,7697,5455,2242,592,1539.40,13001.69
2026-05-29T09:39:20.783925243,146,8404,6044,2360,668,1680.80,12580.84
2026-05-29T09:39:26.138353465,147,6719,4820,1899,1048,1343.80,6411.26
