timestamp,batchId,totalRows,normalRows,anomalyRows,latencyMs,inputRowsPerSecond,processedRowsPerSecond
2026-05-29T09:17:55.201941456,23,14576,10481,4095,4438,2915.20,3284.36
2026-05-29T09:17:57.483468465,24,7302,5194,2108,1792,1460.40,4074.78
2026-05-29T09:18:01.186614832,25,5254,3768,1486,959,1050.80,5478.62
2026-05-29T09:18:06.140791270,26,6359,4556,1803,1003,1271.80,6339.98
2026-05-29T09:18:11.104125498,27,8213,5909,2304,960,1642.60,8555.21
2026-05-29T09:18:16.130546926,28,7812,5597,2215,1009,1562.40,7742.32
2026-05-29T09:18:21.138712474,29,6593,4742,1851,989,1318.60,6666.33
2026-05-29T09:18:26.428191924,30,10141,7278,2863,1231,2028.20,8238.02
2026-05-29T09:18:31.248396545,31,5532,3985,1547,1088,1106.40,5084.56
2026-05-29T09:18:36.470264500,32,6003,4326,1677,1253,1200.60,4790.90
2026-05-29T09:18:41.247531128,33,5773,4167,1606,1050,1154.60,5498.10
2026-05-29T09:18:46.390693241,34,7033,5047,1986,1219,1406.60,5769.48
2026-05-29T09:18:51.387142881,35,4986,3530,1456,1180,997.20,4225.42
2026-05-29T09:18:56.520674402,36,6638,4748,1890,1330,1327.60,4990.98
2026-05-29T09:19:01.398480611,37,7007,5043,1964,1180,1401.40,5938.14
2026-05-29T09:19:06.256505791,38,4576,3277,1299,1028,915.20,4451.36
2026-05-29T09:19:11.277252619,39,6578,4732,1846,1051,1315.60,6258.80
2026-05-29T09:19:16.121215006,40,4218,3025,1193,964,843.60,4375.52
2026-05-29T09:19:21.506664412,41,5642,4061,1581,1250,1128.40,4513.60
2026-05-29T09:19:26.459348780,42,5480,3934,1546,1335,1096.00,4104.87
2026-05-29T09:19:31.172707857,43,4383,3121,1262,1002,876.60,4374.25
2026-05-29T09:19:36.236568777,44,5931,4312,1619,1071,1186.20,5537.82
2026-05-29T09:19:41.458872458,45,7536,5408,2128,1308,1507.20,5761.47
2026-05-29T09:19:46.385565479,46,5568,3996,1572,1180,1113.60,4718.64
2026-05-29T09:19:50.915425814,47,5528,3955,1573,743,1105.60,7440.11
2026-05-29T09:19:56.224809676,48,5584,3957,1627,1076,1116.80,5189.59
2026-05-29T09:20:01.336292222,49,5950,4232,1718,1147,1190.00,5187.45
2026-05-29T09:20:06.146872696,50,5978,4318,1660,945,1195.60,6325.93
2026-05-29T09:20:11.178518692,51,6908,4955,1953,996,1381.60,6935.74
2026-05-29T09:20:16.256475760,52,8366,6041,2325,1104,1673.20,7577.90
2026-05-29T09:20:21.047945145,53,6009,4252,1757,894,1201.80,6721.48
2026-05-29T09:20:26.246358271,54,6876,4934,1942,1085,1375.20,6337.33
2026-05-29T09:20:31.043930529,55,6843,4894,1949,939,1368.60,7287.54
2026-05-29T09:20:36.198253384,56,7172,5160,2012,1017,1434.40,7052.11
2026-05-29T09:20:41.216736731,57,7910,5659,2251,1034,1582.00,7649.90
2026-05-29T09:20:46.044069370,58,5743,4159,1584,845,1148.60,6796.45
2026-05-29T09:20:51.061990974,59,7226,5180,2046,875,1445.20,8258.29
2026-05-29T09:20:55.939989094,60,5807,4193,1614,779,1161.40,7454.43
2026-05-29T09:21:00.985006669,61,5838,4203,1635,793,1167.60,7361.92
2026-05-29T09:21:06.090293848,62,6162,4457,1705,929,1232.40,6632.94
2026-05-29T09:21:10.822284160,63,4847,3472,1375,670,969.40,7234.33
2026-05-29T09:21:16.116770825,64,8383,5952,2431,991,1676.60,8459.13
2026-05-29T09:21:21.172192106,65,6633,4750,1883,1033,1326.60,6421.10
2026-05-29T09:21:26.306290179,66,8515,6108,2407,1140,1703.00,7469.30
2026-05-29T09:21:31.263373432,67,8588,6185,2403,1183,1717.60,7259.51
