timestamp,batchId,totalRows,normalRows,anomalyRows,latencyMs,inputRowsPerSecond,processedRowsPerSecond
2026-05-12T17:00:43.638574031,383,3047,2171,876,3082,609.40,988.64
2026-05-12T17:00:46.094340685,384,3254,2335,919,918,650.80,3544.66
2026-05-12T17:00:51.642683279,385,3711,2693,1018,1505,742.20,2465.78
2026-05-12T17:00:56.395275259,386,3115,2243,872,1198,623.00,2600.17
2026-05-12T17:01:01.518360549,387,3716,2677,1039,1289,743.20,2882.85
2026-05-12T17:01:06.519087,388,3566,2518,1048,1314,713.20,2713.85
2026-05-12T17:01:11.471457292,389,3673,2609,1064,1250,734.60,2938.40
2026-05-12T17:01:16.288708514,390,3762,2696,1066,1128,752.40,3335.11
2026-05-12T17:01:21.146267668,391,4021,2892,1129,994,804.20,4045.27
2026-05-12T17:01:25.952181573,392,3616,2565,1051,790,723.20,4577.22
2026-05-12T17:01:30.667209695,393,3815,2782,1033,551,763.00,6923.77
2026-05-12T17:01:35.730746884,394,3590,2570,1020,633,718.00,5671.41
2026-05-12T17:01:40.670582245,395,3799,2729,1070,573,759.80,6630.02
2026-05-12T17:01:45.637491224,396,4076,2940,1136,533,815.20,7647.28
2026-05-12T17:01:50.595607989,397,3828,2745,1083,504,765.60,7595.24
2026-05-12T17:01:55.655152378,398,3622,2584,1038,562,724.40,6444.84
2026-05-12T17:02:00.569265665,399,3704,2664,1040,467,740.80,7931.48
2026-05-12T17:02:05.580925681,400,3920,2808,1112,478,784.00,8200.84
2026-05-12T17:02:10.631403760,401,3790,2737,1053,544,758.00,6966.91
2026-05-12T17:02:15.614543550,402,3799,2713,1086,518,759.80,7333.98
2026-05-12T17:02:20.714714396,403,3758,2737,1021,622,751.60,6041.80
2026-05-12T17:02:26.056686840,404,2818,2013,805,951,563.60,2963.20
