timestamp,process_cpu_percent,system_relative_cpu,ram_rss_mb,ram_vms_mb
1780046273.3383398,276.0,69.0,4597.82421875,8099.29296875
1780046274.344852,179.1,44.775,4600.9609375,8099.421875
1780046275.3453348,205.9,51.475,4608.25,8133.421875
1780046276.3459518,190.0,47.5,4612.4375,8155.421875
1780046277.351116,159.9,39.975,4610.46484375,8155.421875
1780046278.3611221,35.7,8.925,4610.89453125,8158.421875
1780046279.362376,1.0,0.25,4610.89453125,8158.421875
1780046280.3634853,66.0,16.5,4612.765625,8158.421875
1780046281.3659005,209.6,52.4,4614.27734375,8160.421875
1780046282.3705301,0.0,0.0,4614.27734375,8160.421875
1780046283.378732,1.0,0.25,4614.27734375,8160.421875
1780046284.4156394,0.0,0.0,4614.27734375,8160.421875
1780046285.4189627,89.8,22.45,4613.80859375,8160.421875
1780046286.437676,140.9,35.225,4614.71484375,8162.421875
1780046287.4386554,2.0,0.5,4614.71484375,8162.421875
1780046288.4522297,0.0,0.0,4614.71484375,8162.421875
1780046289.4569008,0.0,0.0,4614.71484375,8162.421875
1780046290.4654443,89.4,22.35,4615.3984375,8162.421875
1780046291.4719512,153.1,38.275,4617.23828125,8164.421875
1780046292.4793584,0.0,0.0,4617.23828125,8164.421875
1780046293.4851847,0.0,0.0,4617.23828125,8164.421875
1780046294.4868162,1.0,0.25,4617.23828125,8164.421875
1780046295.488055,99.9,24.975,4618.32421875,8164.421875
1780046296.4894528,127.8,31.95,4618.9140625,8166.421875
1780046297.4934707,0.0,0.0,4618.9140625,8166.421875
1780046298.4939308,0.0,0.0,4618.9140625,8166.421875
1780046299.5002186,1.0,0.25,4618.9140625,8166.421875
1780046300.5039957,90.0,22.5,4619.17578125,8166.421875
1780046301.5069501,155.8,38.95,4622.64453125,8190.421875
1780046302.5075266,0.0,0.0,4622.64453125,8190.421875
1780046303.5087276,0.0,0.0,4622.64453125,8190.421875
1780046304.5094273,1.0,0.25,4622.65234375,8190.421875
1780046305.5130806,100.9,25.225,4622.92578125,8190.421875
1780046306.5142062,144.9,36.225,4629.17578125,8190.421875
1780046307.5157638,2.0,0.5,4629.17578125,8190.421875
1780046308.5167222,0.0,0.0,4629.17578125,8190.421875
1780046309.5200613,1.0,0.25,4629.11328125,8190.421875
1780046310.5209274,87.0,21.75,4630.0625,8190.421875
1780046311.523219,162.0,40.5,4632.57421875,8190.421875
1780046312.5261042,0.0,0.0,4632.57421875,8190.421875
1780046313.5279045,1.0,0.25,4626.71875,8190.421875
1780046314.5288136,1.0,0.25,4625.796875,8190.421875
1780046315.530097,88.0,22.0,4626.546875,8190.421875
1780046316.533529,180.9,45.225,4627.1640625,8190.421875
1780046317.5343175,45.0,11.25,4632.30859375,8190.421875
1780046318.53645,1.0,0.25,4632.30859375,8190.421875
1780046319.5371053,1.0,0.25,4632.30859375,8190.421875
1780046320.537899,96.0,24.0,4632.8125,8190.421875
1780046321.5387387,123.0,30.75,4634.03125,8190.421875
1780046322.5492396,0.0,0.0,4634.03125,8190.421875
1780046323.5498805,1.0,0.25,4629.51171875,8190.421875
1780046324.5512638,0.0,0.0,4629.51171875,8190.421875
1780046325.5527718,82.9,20.725,4630.015625,8190.421875
1780046326.556534,139.9,34.975,4632.46484375,8190.421875
1780046327.5575974,1.0,0.25,4632.46484375,8190.421875
1780046328.5604005,0.0,0.0,4632.46484375,8190.421875
1780046329.5630596,0.0,0.0,4632.46484375,8190.421875
1780046330.565429,104.9,26.225,4632.77734375,8190.421875
1780046331.5729253,147.3,36.825,4633.88671875,8190.421875
1780046332.5788336,44.8,11.2,4633.98046875,8190.421875
1780046333.5809555,1.0,0.25,4633.98046875,8190.421875
1780046334.58147,0.0,0.0,4633.98046875,8190.421875
1780046335.5840502,85.9,21.475,4633.86328125,8190.421875
1780046336.5956314,139.7,34.925,4639.24609375,8190.421875
1780046337.5968432,10.0,2.5,4639.30859375,8190.421875
1780046338.5981388,1.0,0.25,4634.69921875,8190.421875
1780046339.599754,1.0,0.25,4634.69921875,8190.421875
1780046340.6012354,87.9,21.975,4638.98828125,8190.421875
1780046341.6029942,101.9,25.475,4639.625,8190.421875
1780046342.6045127,0.0,0.0,4639.625,8190.421875
1780046343.6098542,0.0,0.0,4639.625,8190.421875
1780046344.6110914,1.0,0.25,4639.625,8190.421875
1780046345.6127849,88.0,22.0,4640.19140625,8190.421875
1780046346.6134183,104.0,26.0,4641.0859375,8190.421875
