timestamp,batchId,totalRows,normalRows,anomalyRows,latencyMs,inputRowsPerSecond,processedRowsPerSecond
2026-05-12T16:31:27.444326732,340,1154,811,343,2014,230.80,572.99
2026-05-12T16:31:31.094165336,341,2080,1493,587,938,416.00,2217.48
2026-05-12T16:31:35.845083884,342,2026,1470,556,699,405.20,2898.43
2026-05-12T16:31:40.760965099,343,2074,1463,611,631,414.80,3286.85
2026-05-12T16:31:45.711860788,344,2090,1524,566,594,418.00,3518.52
2026-05-12T16:31:50.798216577,345,2067,1502,565,634,413.40,3260.25
2026-05-12T16:31:55.630017086,346,1973,1424,549,522,394.60,3779.69
2026-05-12T16:32:00.588951358,347,2141,1531,610,481,428.20,4451.14
2026-05-12T16:32:05.611937655,348,2034,1467,567,509,406.80,3996.07
2026-05-12T16:32:10.636674789,349,2178,1534,644,540,435.60,4033.33
2026-05-12T16:32:15.576751457,350,2138,1507,631,464,427.60,4607.76
2026-05-12T16:32:20.544655198,351,2043,1457,586,451,408.60,4529.93
2026-05-12T16:32:25.547600726,352,2153,1546,607,448,430.60,4805.80
2026-05-12T16:32:30.511439377,353,2233,1602,631,416,446.60,5367.79
2026-05-12T16:32:35.506652701,354,2110,1526,584,415,422.00,5084.34
2026-05-12T16:32:40.534910408,355,2084,1508,576,437,416.80,4768.88
2026-05-12T16:32:45.686676764,356,2193,1538,655,568,438.60,3860.92
2026-05-12T16:32:50.670770050,357,2242,1606,636,562,448.40,3989.32
2026-05-12T16:32:55.719230919,358,1988,1451,537,601,397.60,3307.82
2026-05-12T16:33:00.734374776,359,2062,1484,578,625,412.40,3299.20
2026-05-12T16:33:05.752011398,360,2032,1445,587,650,406.40,3126.15
2026-05-12T16:33:10.699965487,361,2117,1524,593,599,423.40,3534.22
2026-05-12T16:33:15.603375092,362,2032,1469,563,503,406.40,4039.76
2026-05-12T16:33:20.656929591,363,2041,1462,579,548,408.20,3724.45
2026-05-12T16:33:25.960830949,364,715,505,210,862,143.00,829.47
