timestamp,batchId,totalRows,normalRows,anomalyRows,latencyMs,inputRowsPerSecond,processedRowsPerSecond
2026-05-12T17:05:07.428786454,405,657,466,191,1988,131.40,330.48
2026-05-12T17:05:11.224419736,406,2769,1976,793,1059,553.80,2614.73
2026-05-12T17:05:16.247725687,407,3921,2805,1116,1093,784.20,3587.37
2026-05-12T17:05:20.873968149,408,3519,2572,947,745,703.80,4723.49
2026-05-12T17:05:25.973985568,409,5132,3683,1449,850,1026.40,6037.65
2026-05-12T17:05:30.791167329,410,4649,3300,1349,677,929.80,6867.06
2026-05-12T17:05:35.811339136,411,4270,3040,1230,696,854.00,6135.06
2026-05-12T17:05:40.818020877,412,4679,3360,1319,699,935.80,6693.85
2026-05-12T17:05:45.864415962,413,4142,2970,1172,760,828.40,5450.00
2026-05-12T17:05:50.727431654,414,3902,2796,1106,585,780.40,6670.09
2026-05-12T17:05:55.777887308,415,4229,3045,1184,666,845.80,6349.85
2026-05-12T17:06:00.764006533,416,4306,3099,1207,645,861.20,6675.97
2026-05-12T17:06:05.682704664,417,3804,2720,1084,577,760.80,6592.72
2026-05-12T17:06:10.709019753,418,4571,3302,1269,594,914.20,7695.29
2026-05-12T17:06:15.672988882,419,4197,3001,1196,552,839.40,7603.26
2026-05-12T17:06:20.752829452,420,4361,3123,1238,644,872.20,6771.74
2026-05-12T17:06:25.612333376,421,4382,3176,1206,522,876.40,8394.64
2026-05-12T17:06:30.612061312,422,4464,3200,1264,513,892.80,8701.75
2026-05-12T17:06:35.610160988,423,4688,3386,1302,505,937.60,9283.17
2026-05-12T17:06:40.654429523,424,4788,3444,1344,558,957.60,8580.65
2026-05-12T17:06:45.614643296,425,4131,2968,1163,513,826.20,8052.63
2026-05-12T17:06:50.601215891,426,3960,2879,1081,507,792.00,7810.65
2026-05-12T17:06:55.603063553,427,4393,3097,1296,509,878.60,8630.65
2026-05-12T17:07:00.702843095,428,4360,3088,1272,586,872.00,7440.27
2026-05-12T17:07:05.533774655,429,3857,2772,1085,438,771.40,8805.94
2026-05-12T17:07:10.585356943,430,4232,3032,1200,485,846.40,8725.77
2026-05-12T17:07:15.535707735,431,3830,2757,1073,442,766.00,8665.16
2026-05-12T17:07:20.553702075,432,4305,3116,1189,467,861.00,9218.42
2026-05-12T17:07:25.506000546,433,4076,2914,1162,414,815.20,9845.41
2026-05-12T17:07:30.486465375,434,3961,2877,1084,397,792.20,9977.33
2026-05-12T17:07:35.521050869,435,4053,2898,1155,431,810.60,9403.71
2026-05-12T17:07:40.625509720,436,4605,3283,1322,530,921.00,8688.68
2026-05-12T17:07:45.543779462,437,4111,2954,1157,446,822.20,9217.49
2026-05-12T17:07:50.613044739,438,4588,3268,1320,524,917.60,8755.73
2026-05-12T17:07:55.551825782,439,4459,3253,1206,463,891.80,9630.67
2026-05-12T17:08:00.503621871,440,4489,3278,1211,405,897.80,11083.95
2026-05-12T17:08:05.945083588,441,1160,833,327,853,232.00,1359.91
