timestamp,process_cpu_percent,system_relative_cpu,ram_rss_mb,ram_vms_mb
1780225075.058796,65.9,16.475,4594.97265625,8061.421875
1780225076.068451,233.8,58.45,4602.06640625,8121.421875
1780225077.0704968,104.9,26.225,4603.578125,8127.421875
1780225078.0737736,0.0,0.0,4603.578125,8127.421875
1780225079.0795891,0.0,0.0,4603.390625,8127.421875
1780225080.0814555,6.0,1.5,4603.6015625,8127.421875
1780225081.0831573,209.7,52.425,4606.49609375,8127.421875
1780225082.0842535,115.9,28.975,4608.234375,8132.421875
1780225083.0852213,1.0,0.25,4608.30078125,8132.421875
1780225084.0867517,1.0,0.25,4607.92578125,8132.421875
1780225085.0878885,10.0,2.5,4608.1171875,8132.421875
1780225086.089492,226.7,56.675,4616.609375,8191.421875
1780225087.090159,78.0,19.5,4618.875,8192.421875
1780225088.0928702,1.0,0.25,4618.859375,8192.421875
1780225089.0952141,0.0,0.0,4618.859375,8192.421875
1780225090.0987358,9.0,2.25,4619.09375,8192.421875
1780225091.0994902,245.9,61.475,4620.7265625,8192.421875
1780225092.1011925,34.0,8.5,4620.8828125,8192.421875
1780225093.1022716,1.0,0.25,4620.8828125,8192.421875
1780225094.102791,1.0,0.25,4620.8828125,8192.421875
1780225095.1042385,12.0,3.0,4621.20703125,8192.421875
1780225096.1052485,216.9,54.225,4622.3046875,8192.421875
1780225097.106509,33.0,8.25,4622.43359375,8192.421875
1780225098.1073675,1.0,0.25,4622.43359375,8192.421875
1780225099.1085432,0.0,0.0,4622.43359375,8192.421875
1780225100.1098742,14.0,3.5,4622.5,8192.421875
1780225101.1107607,229.9,57.475,4623.3984375,8192.421875
1780225102.1137168,15.0,3.75,4623.53515625,8192.421875
1780225103.1152835,2.0,0.5,4623.53515625,8192.421875
1780225104.1185951,0.0,0.0,4623.53515625,8192.421875
1780225105.1329265,17.8,4.45,4623.73046875,8192.421875
1780225106.141235,193.7,48.425,4625.578125,8192.421875
1780225107.1423278,42.0,10.5,4625.91015625,8192.421875
1780225108.1432104,1.0,0.25,4625.91015625,8192.421875
1780225109.144318,0.0,0.0,4625.91015625,8192.421875
1780225110.1473253,21.0,5.25,4626.28515625,8192.421875
1780225111.1481187,236.9,59.225,4633.57421875,8192.421875
1780225112.148752,20.0,5.0,4633.59765625,8192.421875
1780225113.1493444,1.0,0.25,4633.59765625,8192.421875
1780225114.1497433,0.0,0.0,4633.59765625,8192.421875
1780225115.1504898,20.0,5.0,4633.60546875,8192.421875
1780225116.1512816,184.0,46.0,4634.13671875,8192.421875
1780225117.153122,1.0,0.25,4634.13671875,8192.421875
1780225118.1544218,0.0,0.0,4634.13671875,8192.421875
1780225119.156497,1.0,0.25,4634.13671875,8192.421875
1780225120.1572928,21.0,5.25,4634.20703125,8192.421875
1780225121.159265,176.7,44.175,4635.63671875,8192.421875
1780225122.1598892,0.0,0.0,4635.63671875,8192.421875
1780225123.1602886,2.0,0.5,4629.109375,8192.421875
1780225124.1638646,1.0,0.25,4629.109375,8192.421875
1780225125.166263,16.0,4.0,4632.1484375,8192.421875
1780225126.1666813,211.0,52.75,4636.9375,8192.421875
1780225127.1674855,0.0,0.0,4636.9375,8192.421875
1780225128.1682796,1.0,0.25,4636.9375,8192.421875
1780225129.1688356,0.0,0.0,4636.9375,8192.421875
1780225130.1718953,27.9,6.975,4637.5,8192.421875
1780225131.1746151,169.7,42.425,4636.75,8192.421875
1780225132.175436,3.0,0.75,4636.78125,8192.421875
1780225133.1763623,2.0,0.5,4636.78125,8192.421875
1780225134.1788104,0.0,0.0,4636.7109375,8192.421875
