timestamp,batchId,totalRows,normalRows,anomalyRows,latencyMs,inputRowsPerSecond,processedRowsPerSecond
2026-05-31T10:49:08.709476938,25,0,0,0,672,0.00,0.00
2026-05-31T10:49:23.312456747,26,8667,6582,2085,3082,1733.40,2812.13
2026-05-31T10:49:26.399608483,27,8274,6250,2024,1241,1654.80,6667.20
2026-05-31T10:49:31.274310377,28,9369,7194,2175,1109,1873.80,8448.15
2026-05-31T10:49:36.170376988,29,9679,7335,2344,1021,1935.80,9479.92
2026-05-31T10:49:41.350223308,30,10071,7588,2483,1221,2014.20,8248.16
2026-05-31T10:49:46.145564425,31,9202,6930,2272,1014,1840.40,9074.95
2026-05-31T10:49:51.019889061,32,9243,7007,2236,848,1848.60,10899.76
2026-05-31T10:49:56.022120412,33,9910,7522,2388,894,1982.00,11085.01
2026-05-31T10:50:00.939894105,34,9434,7176,2258,810,1886.80,11646.91
2026-05-31T10:50:05.854737391,35,10356,7836,2520,722,2071.20,14343.49
2026-05-31T10:50:10.994151767,36,9869,7450,2419,880,1973.80,11214.77
2026-05-31T10:50:15.900438751,37,8936,6837,2099,781,1787.20,11441.74
2026-05-31T10:50:20.781501955,38,9501,7204,2297,658,1900.20,14439.21
2026-05-31T10:50:25.791513303,39,9959,7548,2411,691,1991.80,14412.45
2026-05-31T10:50:30.950125652,40,10211,7815,2396,830,2042.20,12302.41
2026-05-31T10:50:35.807373286,41,10097,7689,2408,693,2019.40,14569.99
2026-05-31T10:50:40.919010617,42,10223,7785,2438,793,2044.60,12891.55
2026-05-31T10:50:45.827369465,43,9758,7470,2288,720,1951.60,13552.78
2026-05-31T10:50:50.858512789,44,9831,7476,2355,702,1966.20,14004.27
2026-05-31T10:50:55.768173379,45,10183,7710,2473,657,2036.60,15499.24
2026-05-31T10:51:01.135681489,46,7227,5464,1763,1019,1445.40,7092.25
