timestamp,batchId,totalRows,normalRows,anomalyRows,latencyMs,inputRowsPerSecond,processedRowsPerSecond
2026-05-31T10:57:54.213013524,70,5563,4217,1346,3511,1112.60,1584.45
2026-05-31T10:57:56.487017212,71,6686,5083,1603,1326,1337.20,5042.23
2026-05-31T10:58:01.476045513,72,8710,6651,2059,1311,1742.00,6643.78
2026-05-31T10:58:06.371923429,73,9213,7000,2213,1221,1842.60,7545.45
2026-05-31T10:58:11.116453605,74,9434,7138,2296,964,1886.80,9786.31
2026-05-31T10:58:16.195367903,75,9853,7431,2422,1052,1970.60,9365.97
2026-05-31T10:58:21.137879580,76,9361,7067,2294,1014,1872.20,9231.76
2026-05-31T10:58:26.254593182,77,9910,7489,2421,1133,1982.00,8746.69
2026-05-31T10:58:31.186100986,78,8980,6836,2144,1056,1796.00,8503.79
2026-05-31T10:58:35.977504626,79,9591,7272,2319,854,1918.20,11230.68
2026-05-31T10:58:40.943596454,80,10430,7879,2551,820,2086.00,12719.51
2026-05-31T10:58:46.064600269,81,9292,7062,2230,877,1858.40,10595.21
2026-05-31T10:58:50.955547025,82,9801,7466,2335,828,1960.20,11836.96
2026-05-31T10:58:56.003093687,83,9978,7561,2417,889,1995.60,11223.85
2026-05-31T10:59:01.088411550,84,10771,8187,2584,920,2154.20,11707.61
2026-05-31T10:59:06.035192897,85,9628,7333,2295,915,1925.60,10522.40
2026-05-31T10:59:11.008720137,86,9547,7301,2246,906,1909.40,10537.53
2026-05-31T10:59:15.885951151,87,9668,7429,2239,774,1933.60,12490.96
2026-05-31T10:59:21.547454801,88,10182,7775,2407,1377,2036.40,7394.34
2026-05-31T10:59:26.336854431,89,7892,5949,1943,1148,1578.40,6874.56
2026-05-31T10:59:31.213892051,90,8220,6226,1994,1054,1644.00,7798.86
2026-05-31T10:59:37.150658304,91,7290,5516,1774,2028,1458.00,3594.67
