timestamp,process_cpu_percent,system_relative_cpu,ram_rss_mb,ram_vms_mb
1778599484.8729289,130.9,32.725,5580.2578125,9029.91796875
1778599485.8740401,175.9,43.975,5596.24609375,9034.25
1778599486.876954,204.7,51.175,5603.49609375,9059.25390625
1778599487.8878467,86.2,21.55,5616.6875,9061.25390625
1778599488.8925178,0.0,0.0,5616.6875,9061.25390625
1778599489.8961928,1.0,0.25,5616.6875,9061.25390625
1778599490.8968675,3.0,0.75,5616.75,9061.25390625
1778599491.8991828,0.0,0.0,5616.75,9061.25390625
1778599492.8999712,2.0,0.5,5616.953125,9063.25390625
1778599493.9011323,1.0,0.25,5616.953125,9063.25390625
1778599494.9026706,1.0,0.25,5616.953125,9063.25390625
1778599495.9039896,3.0,0.75,5617.16015625,9063.25390625
1778599496.9111145,0.0,0.0,5617.16015625,9063.25390625
1778599497.9125187,2.0,0.5,5617.16015625,9063.25390625
1778599498.9146645,1.0,0.25,5617.16015625,9063.25390625
1778599499.915749,0.0,0.0,5617.16015625,9063.25390625
1778599500.9176533,2.0,0.5,5617.21484375,9063.25390625
1778599501.918291,1.0,0.25,5617.22265625,9063.25390625
1778599502.9194596,1.0,0.25,5617.34765625,9063.25390625
1778599503.922456,2.0,0.5,5617.34765625,9063.25390625
1778599504.9277213,0.0,0.0,5617.34765625,9063.25390625
1778599505.9294782,3.0,0.75,5617.47265625,9063.25390625
1778599506.9346335,0.0,0.0,5617.47265625,9063.25390625
1778599507.9366045,2.0,0.5,5617.47265625,9063.25390625
1778599508.9393058,0.0,0.0,5617.47265625,9063.25390625
1778599509.940389,1.0,0.25,5617.47265625,9063.25390625
1778599510.9439166,2.0,0.5,5617.26171875,9063.25390625
1778599511.9477837,0.0,0.0,5616.890625,9063.25390625
1778599512.9497738,1.0,0.25,5616.89453125,9063.25390625
1778599513.953068,1.0,0.25,5616.51953125,9063.25390625
1778599514.9543111,0.0,0.0,5616.51953125,9063.25390625
1778599515.9623015,3.0,0.75,5616.51953125,9063.25390625
1778599516.9644845,0.0,0.0,5616.51953125,9063.25390625
1778599517.9665148,1.0,0.25,5616.51953125,9063.25390625
1778599518.9692686,0.0,0.0,5616.51953125,9063.25390625
1778599519.971588,2.0,0.5,5616.51953125,9063.25390625
1778599520.9735477,1.0,0.25,5616.58203125,9063.25390625
1778599521.9765854,1.0,0.25,5616.58203125,9063.25390625
1778599522.979629,1.0,0.25,5616.58203125,9063.25390625
1778599523.9898458,0.0,0.0,5616.58203125,9063.25390625
1778599524.9909146,2.0,0.5,5616.58203125,9063.25390625
1778599525.994464,3.0,0.75,5616.64453125,9063.25390625
1778599527.0015597,0.0,0.0,5616.64453125,9063.25390625
1778599528.0043702,0.0,0.0,5616.64453125,9063.25390625
1778599529.005832,1.0,0.25,5616.64453125,9063.25390625
1778599530.0068896,1.0,0.25,5616.3359375,9063.25390625
1778599531.0080297,2.0,0.5,5616.3359375,9063.25390625
1778599532.0088172,0.0,0.0,5616.3359375,9063.25390625
1778599533.00954,2.0,0.5,5616.34375,9063.25390625
1778599534.0112436,0.0,0.0,5616.34375,9063.25390625
1778599535.0133734,3.0,0.75,5617.65234375,9063.25390625
1778599536.014688,2.0,0.5,5623.625,9063.25390625
1778599537.0153747,1.0,0.25,5623.625,9063.25390625
1778599538.0170443,1.0,0.25,5623.625,9063.25390625
1778599539.0183375,1.0,0.25,5616.60546875,9063.25390625
1778599540.0189312,2.0,0.5,5616.61328125,9063.25390625
1778599541.0206747,1.0,0.25,5616.61328125,9063.25390625
1778599542.0227234,0.0,0.0,5616.61328125,9063.25390625
1778599543.0243533,1.0,0.25,5616.6796875,9063.25390625
1778599544.0702436,2.9,0.725,5612.65234375,9045.3828125
1778599545.0718153,2.0,0.5,5612.71484375,9045.3828125
1778599546.0739486,0.0,0.0,5612.71484375,9045.3828125
1778599547.0749307,3.0,0.75,5609.61328125,9019.3828125
1778599548.0755541,0.0,0.0,5609.61328125,9019.3828125
1778599549.0821388,0.0,0.0,5609.61328125,9019.3828125
1778599550.0846894,2.0,0.5,5609.61328125,9019.3828125
1778599551.0858004,0.0,0.0,5609.61328125,9019.3828125
1778599552.086622,0.0,0.0,5606.234375,9019.3828125
1778599553.0888095,1.0,0.25,5605.4609375,9018.3828125
1778599554.09149,0.0,0.0,5599.109375,9018.3828125
1778599555.0938191,5.0,1.25,5598.37890625,9018.3828125
1778599556.0951157,72.0,18.0,5599.109375,9018.3828125
1778599557.222194,53.8,13.45,5598.015625,9018.3828125
1778599558.2346804,50.0,12.5,5597.45703125,9018.3828125
1778599559.2370737,34.9,8.725,5598.453125,9018.3828125
1778599560.3023083,46.9,11.725,5597.171875,9018.3828125
1778599561.322314,23.5,5.875,5597.55078125,9018.3828125
1778599562.325286,39.9,9.975,5597.609375,9018.3828125
1778599563.4550977,22.8,5.7,5600.22265625,9018.3828125
