timestamp,batchId,totalRows,normalRows,anomalyRows,latencyMs,throughput
2026-05-12T14:42:02.912042956,130,1751,1255,496,2472,708.3333333333334
2026-05-12T14:42:06.315824717,131,1967,1407,560,1185,1659.915611814346
2026-05-12T14:42:10.998086804,132,1979,1411,568,881,2246.311010215664
2026-05-12T14:42:59.502206174,133,1918,1371,547,921,2082.5190010857764
2026-05-12T14:43:00.915962653,134,753,535,218,779,966.6238767650834
2026-05-12T14:43:05.803067056,135,2737,2015,722,699,3915.593705293276
2026-05-12T14:43:10.877462831,136,2623,1881,742,767,3419.8174706649284
2026-05-12T14:43:15.771250547,137,2709,1951,758,678,3995.575221238938
2026-05-12T14:43:20.747351036,138,2658,1862,796,652,4076.687116564417
2026-05-12T14:43:25.840321977,139,2748,1963,785,737,3728.629579375848
2026-05-12T14:43:30.732399847,140,2647,1891,756,636,4161.9496855345915
2026-05-12T14:43:35.746776082,141,2522,1806,716,653,3862.1745788667686
2026-05-12T14:43:40.673965834,142,2651,1901,750,576,4602.430555555556
2026-05-12T14:43:45.816184487,143,2683,1945,738,731,3670.3146374829003
2026-05-12T14:43:50.770677592,144,2635,1847,788,655,4022.9007633587785
2026-05-12T14:43:55.871363163,145,2682,1944,738,770,3483.116883116883
2026-05-12T14:44:00.911463218,146,2693,1944,749,807,3337.0508054522925
2026-05-12T14:44:05.926028426,147,2702,1937,765,802,3369.077306733167
2026-05-12T14:44:10.761436009,148,2527,1825,702,667,3788.6056971514245
2026-05-12T14:44:15.609530631,149,2598,1856,742,513,5064.327485380117
2026-05-12T14:44:23.442689987,150,1817,1302,515,3329,545.8095524181435
