timestamp,batchId,totalRows,normalRows,anomalyRows,latencyMs,throughput
2026-05-12T15:02:23.266285323,176,1282,901,381,2763,463.9884183858125
2026-05-12T15:02:26.305563774,177,1909,1370,539,1154,1654.2461005199307
2026-05-12T15:02:31.142725212,178,2120,1538,582,1025,2068.2926829268295
2026-05-12T15:02:36.136319102,179,2127,1507,620,1015,2095.5665024630543
2026-05-12T15:02:41.091367770,180,2155,1567,588,960,2244.7916666666665
2026-05-12T15:02:45.777030017,181,1931,1402,529,663,2912.518853695324
2026-05-12T15:02:50.840711487,182,2155,1553,602,720,2993.0555555555557
2026-05-12T15:02:55.906637628,183,2177,1560,617,794,2741.8136020151132
2026-05-12T15:03:00.758558567,184,2084,1490,594,663,3143.288084464555
2026-05-12T15:03:05.707579884,185,2148,1514,634,615,3492.682926829268
2026-05-12T15:03:10.745094634,186,2130,1505,625,637,3343.7990580847722
2026-05-12T15:03:15.716982807,187,2119,1520,599,624,3395.8333333333335
2026-05-12T15:03:20.779763782,188,2106,1521,585,645,3265.1162790697676
2026-05-12T15:03:25.716785331,189,2178,1553,625,615,3541.4634146341464
2026-05-12T15:03:30.674787892,190,2136,1534,602,583,3663.8078902229845
2026-05-12T15:03:35.684221621,191,2159,1565,594,592,3646.9594594594596
2026-05-12T15:03:40.718319131,192,2190,1532,658,627,3492.822966507177
2026-05-12T15:03:45.719022403,193,1925,1393,532,622,3094.855305466238
2026-05-12T15:03:50.609318760,194,2159,1575,584,519,4159.922928709056
2026-05-12T15:03:55.592152528,195,2094,1505,589,505,4146.534653465346
2026-05-12T15:04:00.650366098,196,2138,1515,623,560,3817.8571428571427
2026-05-12T15:04:05.636497987,197,2116,1534,582,543,3896.869244935543
2026-05-12T15:04:10.636011114,198,2038,1468,570,535,3809.345794392523
2026-05-12T15:04:15.546355777,199,2088,1495,593,461,4529.284164859002
2026-05-12T15:04:23.042354040,200,336,232,104,2941,114.24685481128867
